arich[0].feb[0].t2 : float(37.75)
arich[0].feb[1].t1 : float(38.5)
arich[0].feb[1].t2 : float(38.5)
arich[0].feb[2].t1 : float(39.1875)
arich[0].feb[2].t2 : float(39)
arich[0].feb[3].t1 : float(39.3125)
arich[0].feb[3].t2 : float(39.0625)
arich[0].feb[4].t1 : float(39.875)
arich[0].feb[4].t2 : float(39.9375)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(40.9375)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(39.6875)
arich[1].feb[1].t2 : float(39.75)
arich[1].feb[2].t1 : float(40.25)
arich[1].feb[2].t2 : float(40.1875)
arich[1].feb[3].t1 : float(40.5625)
arich[1].feb[3].t2 : float(40.6875)
arich[1].feb[4].t1 : float(40.875)
arich[1].feb[4].t2 : float(40.8125)
arich[1].feb[5].t1 : float(40.375)
arich[1].feb[5].t2 : float(40.5)
arich[2].temp : float(41.8125)
arich[2].feb[0].t1 : float(39.9375)
arich[2].feb[0].t2 : float(40.25)
arich[2].feb[1].t1 : float(40.8125)
arich[2].feb[1].t2 : float(40.625)
arich[2].feb[2].t1 : float(40.3125)
arich[2].feb[2].t2 : float(40.5625)
arich[2].feb[3].t1 : float(38.25)
arich[2].feb[3].t2 : float(38.625)
arich[2].feb[4].t1 : float(38.8125)
arich[2].feb[4].t2 : float(39.125)
arich[2].feb[5].t1 : float(37.625)
arich[2].feb[5].t2 : float(38.125)
arich[3].temp : float(38.5625)
arich[3].feb[0].t1 : float(33.3125)
arich[3].feb[0].t2 : float(33.3125)
arich[3].feb[1].t1 : float(34.6875)
arich[3].feb[1].t2 : float(34.625)
arich[3].feb[2].t1 : float(31.5625)
arich[3].feb[2].t2 : float(31.4375)
arich[3].feb[3].t1 : float(32.75)
arich[3].feb[3].t2 : float(32.625)
arich[3].feb[4].t1 : float(35.5625)
arich[3].feb[4].t2 : float(35.6875)
arich[3].feb[5].t1 : float(33.9375)
arich[3].feb[5].t2 : float(33.875)
